status,message,user_id,phone,row,timestamp
success,"Номер успешно обновлен",1131,5500,219,"2025-11-07 16:10:37"
success,"Номер успешно обновлен",1143,2047,220,"2025-11-07 16:10:37"
skipped,"Временный номер (пропуск)",1149,1041,221,"2025-11-07 16:10:38"
success,"Номер успешно обновлен",1171,2070,222,"2025-11-07 16:10:38"
success,"Номер успешно обновлен",1189,721,223,"2025-11-07 16:10:39"
success,"Номер успешно обновлен",1207,2137,224,"2025-11-07 16:10:40"
success,"Номер успешно обновлен",1221,2120,225,"2025-11-07 16:10:41"
success,"Номер успешно обновлен",1235,2178,226,"2025-11-07 16:10:41"
success,"Номер успешно обновлен",1237,214,227,"2025-11-07 16:10:42"
success,"Номер успешно обновлен",1243,211,228,"2025-11-07 16:10:43"
success,"Номер успешно обновлен",1247,21,229,"2025-11-07 16:10:44"
success,"Номер успешно обновлен",1256,443,230,"2025-11-07 16:10:44"
success,"Номер успешно обновлен",1258,729,231,"2025-11-07 16:10:45"
skipped,"Временный номер (пропуск)",1260,1042,232,"2025-11-07 16:10:45"
success,"Номер успешно обновлен",1262,2411,233,"2025-11-07 16:10:46"
success,"Номер успешно обновлен",1264,2138,234,"2025-11-07 16:10:47"
success,"Номер успешно обновлен",1268,709,235,"2025-11-07 16:10:48"
error,"Ошибка заполнения поля ""Внутренний номер"", номер должен быть цифрой от 1 до 9999. ",1270,21232,236,"2025-11-07 16:10:48"
skipped,"Временный номер (пропуск)",1276,1043,237,"2025-11-07 16:10:48"
success,"Номер успешно обновлен",1280,2092,238,"2025-11-07 16:10:49"
success,"Номер успешно обновлен",1296,710,239,"2025-11-07 16:10:50"
skipped,"Временный номер (пропуск)",1300,1044,240,"2025-11-07 16:10:50"
success,"Номер успешно обновлен",1322,2135,241,"2025-11-07 16:10:51"
success,"Номер успешно обновлен",1326,2105,242,"2025-11-07 16:10:52"
success,"Номер успешно обновлен",1330,2182,243,"2025-11-07 16:10:52"
skipped,"Временный номер (пропуск)",1336,1045,244,"2025-11-07 16:10:53"
success,"Номер успешно обновлен",1348,2027,245,"2025-11-07 16:10:53"
success,"Номер успешно обновлен",1434,2426,246,"2025-11-07 16:10:54"
